date,rain_in
1918-02-20,5.81
1941-12-28,3.87
2023-01-10,3.849999913945794
1991-03-19,3.69
1952-03-15,3.58
1914-02-20,3.5
2023-02-25,3.3799999244511127
2004-12-28,3.33
1998-02-02,3.22
1955-12-25,3.15
